Datetime, Timestamp, Low, High, Open, Close, Vol
7/29/2017 0:00,1501286400,2656,2790.99,2786.07,2700.21,9860.132241
7/28/2017 0:00,1501200000,2655.55,2825.11,2664.99,2786.07,17189.24674
7/27/2017 0:00,1501113600,2514.1,2686.2,2525.98,2664.99,10034.52707
7/26/2017 0:00,1501027200,2403,2614,2564,2525.99,13015.85522
7/25/2017 0:00,1500940800,2449.69,2782.44,2761.68,2564,19195.55261
7/24/2017 0:00,1500854400,2726.8,2799.2,2755.19,2762.26,8105.645112
7/23/2017 0:00,1500768000,2691,2848,2825.27,2754.28,10194.97475
7/22/2017 0:00,1500681600,2646.95,2869.88,2661.05,2825.27,12225.61764
7/21/2017 0:00,1500595200,2608.27,2880,2873.45,2657.45,23062.09494
7/20/2017 0:00,1500508800,2258.99,2957,2258.99,2873.48,36509.16787
7/19/2017 0:00,1500422400,2216,2396,2307.48,2258.99,18567.47611
7/18/2017 0:00,1500336000,2134.37,2393.43,2235.14,2308.15,23784.96983
7/17/2017 0:00,1500249600,1909.58,2238.07,1911.79,2235.19,21436.76454
7/16/2017 0:00,1500163200,1758.2,2043.94,1964.33,1911.78,21740.89274
7/15/2017 0:00,1500076800,1964.31,2224.82,2217.02,1964.31,16334.58965
7/14/2017 0:00,1499990400,2150,2349.28,2340,2217.24,13548.87781
7/13/2017 0:00,1499904000,2308.14,2416.79,2384.35,2340,9541.539433
7/12/2017 0:00,1499817600,2250,2415,2309.62,2383.42,13834.47197
7/11/2017 0:00,1499731200,2265,2410,2330.93,2310.01,15670.55065
7/10/2017 0:00,1499644800,2250,2523,2508,2331.05,15554.00509
7/9/2017 0:00,1499558400,2500,2579.84,2560.84,2508.99,5647.434269
7/8/2017 0:00,1499472000,2471.22,2563.5,2501.15,2561.11,7869.881313
7/7/2017 0:00,1499385600,2472,2607.61,2604.89,2501.15,11640.78157
7/6/2017 0:00,1499299200,2580.69,2623.54,2616.96,2604.84,8207.233652
7/5/2017 0:00,1499212800,2551.06,2630.24,2602,2616.96,10183.6301
7/4/2017 0:00,1499126400,2542.18,2636.1,2542.41,2602,10680.56522
7/3/2017 0:00,1499040000,2479.75,2584.78,2515.37,2542.41,10045.82282
7/2/2017 0:00,1498953600,2385,2545,2424.08,2516.66,9098.289199
7/1/2017 0:00,1498867200,2400,2515,2455.19,2423.63,8448.088799
6/30/2017 0:00,1498780800,2446.2,2554.01,2531.16,2455.19,11860.95944
6/29/2017 0:00,1498694400,2506.1,2591.98,2553.13,2530,9048.16102
6/28/2017 0:00,1498608000,2457,2605,2573.22,2553.12,16240.95462
6/27/2017 0:00,1498521600,2264,2575.75,2407.91,2575.75,22151.51962
6/26/2017 0:00,1498435200,2258.34,2563.9,2505.61,2407.91,20262.76215
6/25/2017 0:00,1498348800,2430.05,2625,2574.86,2505.61,13739.17134
6/24/2017 0:00,1498262400,2503.05,2718.37,2690.76,2574.84,12808.46796
6/23/2017 0:00,1498176000,2665,2743,2679.93,2690.76,9674.140147
6/22/2017 0:00,1498089600,2598,2724.69,2643.33,2679.99,12179.55378
6/21/2017 0:00,1498003200,2559.51,2781.59,2725.11,2643.35,18062.07008
6/20/2017 0:00,1497916800,2585.42,2776.95,2596.99,2725.08,19229.26066
6/19/2017 0:00,1497830400,2481.92,2597,2515.25,2596.98,13928.55869
6/18/2017 0:00,1497744000,2455.01,2670,2634.94,2515.25,13831.58865
6/17/2017 0:00,1497657600,2413.96,2679.24,2480.44,2634.94,17601.30411
6/16/2017 0:00,1497571200,2287.84,2524.65,2409.98,2480.43,21891.95772
6/15/2017 0:00,1497484800,2050,2525,2432.21,2409.98,42025.04188
6/14/2017 0:00,1497398400,2330,2827,2709.02,2432.21,28254.38486
6/13/2017 0:00,1497312000,2649.47,2798.99,2654.36,2709.01,19716.97419
6/12/2017 0:00,1497225600,2463.89,2999.99,2998.98,2655.71,38941.18214
6/11/2017 0:00,1497139200,2881,2998.99,2931.16,2998.98,16294.29304
6/10/2017 0:00,1497052800,2801.25,2942.04,2811.37,2931.15,18734.03191
6/9/2017 0:00,1496966400,2786.2,2861.58,2799.76,2811.39,11440.33562
6/8/2017 0:00,1496880000,2611.41,2808.78,2690.02,2799.73,13453.68916
6/7/2017 0:00,1496793600,2598.7,2885,2871.29,2685.64,19476.18369
6/6/2017 0:00,1496707200,2674.69,2938.55,2698,2871.29,28609.06198
6/5/2017 0:00,1496620800,2517.02,2698,2521.43,2698,13599.7689
6/4/2017 0:00,1496534400,2469.98,2556.1,2548.3,2521.36,13819.38266
6/3/2017 0:00,1496448000,2448,2599,2478.99,2548.05,13441.8888
6/2/2017 0:00,1496361600,2379.44,2478.99,2419.98,2478.99,12890.65884
6/1/2017 0:00,1496275200,2302,2488,2303.61,2419.99,21390.33504
5/31/2017 0:00,1496188800,2173.8,2338.91,2191.6,2303.29,21726.93086
5/30/2017 0:00,1496102400,2112.31,2336.88,2279.18,2191.58,20915.99999
5/29/2017 0:00,1496016000,2141.12,2357.86,2237,2279.48,16926.34457
5/28/2017 0:00,1495929600,2099.86,2342.99,2099.99,2232.78,18342.68197
5/27/2017 0:00,1495843200,1913.19,2353.35,2276.46,2099.99,32466.17086
5/26/2017 0:00,1495756800,2052.01,2683.18,2362.17,2272.7,31755.77262
5/25/2017 0:00,1495670400,2226.86,2806,2432.96,2355,37192.61341
5/24/2017 0:00,1495584000,2266.51,2474.69,2272.74,2432.97,24659.71425
5/23/2017 0:00,1495497600,2100.86,2283,2123.29,2272.75,17640.93852
5/22/2017 0:00,1495411200,1975,2298,2056.99,2123.29,29431.52435
5/21/2017 0:00,1495324800,1988.6,2102.68,2058.89,2057,17762.48439
5/20/2017 0:00,1495238400,1970.04,2059,1976.22,2058.91,13175.28271
5/19/2017 0:00,1495152000,1890.73,1980,1899.47,1976.23,18968.8687
5/18/2017 0:00,1495065600,1800,1900,1813.23,1899.16,11390.33436
5/17/2017 0:00,1494979200,1745.05,1840,1777.49,1813.23,13813.10144
5/16/2017 0:00,1494892800,1690.14,1777.76,1747.81,1777.48,11414.50874
5/15/2017 0:00,1494806400,1702.42,1802.99,1799.98,1747.81,10191.85425
5/14/2017 0:00,1494720000,1763.33,1829,1791.7,1799.99,6806.485119
5/13/2017 0:00,1494633600,1610,1792.96,1695.56,1792.73,12379.856
5/12/2017 0:00,1494547200,1651.01,1838,1837.98,1695.61,16526.29535
5/11/2017 0:00,1494460800,1770.95,1889,1794.95,1837.93,15726.1046
5/10/2017 0:00,1494374400,1691.3,1799.99,1720.24,1794.99,13458.23718
5/9/2017 0:00,1494288000,1630,1794.7,1712.99,1720.43,19878.96883
5/8/2017 0:00,1494201600,1608,1713,1611.1,1713,15894.92006
5/7/2017 0:00,1494115200,1563.87,1618.31,1585.49,1609.57,11737.56998
5/6/2017 0:00,1494028800,1551.3,1598.89,1551.3,1585.39,9367.705013
5/5/2017 0:00,1493942400,1535.11,1630,1561.47,1551.3,16888.16133
5/4/2017 0:00,1493856000,1482.06,1665,1533,1563.39,26721.10592
5/3/2017 0:00,1493769600,1453.68,1533,1471.79,1533,16319.0051
5/2/2017 0:00,1493683200,1426.51,1492.93,1436.5,1471.99,12031.58419
5/1/2017 0:00,1493596800,1370.98,1466.69,1384.55,1436.5,16992.301
4/30/2017 0:00,1493510400,1334.02,1394.51,1364.98,1384.55,10541.60992
4/29/2017 0:00,1493424000,1335.64,1369.5,1352.96,1365.43,9668.985779
4/28/2017 0:00,1493337600,1300.2,1381.01,1349.77,1353.34,14008.44672
4/27/2017 0:00,1493251200,1295.39,1360,1297.56,1349.26,10484.92362
4/26/2017 0:00,1493164800,1279.5,1320,1281.18,1298.44,9597.484158
4/25/2017 0:00,1493078400,1256.16,1287,1256.65,1281.16,8117.263634
4/24/2017 0:00,1492992000,1246.31,1261.16,1251.91,1257.29,5906.259038
4/23/2017 0:00,1492905600,1236.2,1254,1246.79,1251.98,5023.525978
4/22/2017 0:00,1492819200,1221.51,1253,1249.98,1247,6147.327681
4/21/2017 0:00,1492732800,1236.15,1258.77,1236.15,1249.99,6669.145169
4/20/2017 0:00,1492646400,1212.01,1240.6,1214.22,1236.15,7747.135097
4/19/2017 0:00,1492560000,1191.09,1215.32,1201.88,1214.21,6273.615376
4/18/2017 0:00,1492473600,1189.76,1206.65,1190.95,1201.94,6269.909265
4/17/2017 0:00,1492387200,1170.85,1197.6,1177.63,1189.91,6548.066563
4/16/2017 0:00,1492300800,1171.7,1189.93,1178.84,1177.99,3084.525039
4/15/2017 0:00,1492214400,0.06,1190.99,1173.13,1178.85,3972.003146
4/14/2017 0:00,1492128000,1170.14,1196.92,1177.05,1173.74,5666.274944
4/13/2017 0:00,1492041600,1148.98,1219.49,1214.68,1177.05,9426.537457
4/12/2017 0:00,1491955200,1209.61,1227.86,1224,1214.17,6494.151562
4/11/2017 0:00,1491868800,1200,1234,1210,1223.99,5481.083298
4/10/2017 0:00,1491782400,1201,1219.78,1210.99,1210,5644.961476
4/9/2017 0:00,1491696000,1175.8,1221,1184.5,1210.97,5819.841282
4/8/2017 0:00,1491609600,1170,1198,1194,1184.5,4423.107581
4/7/2017 0:00,1491523200,1175.26,1203,1192.29,1194,6984.367979
4/6/2017 0:00,1491436800,1132.98,1206.97,1132.99,1192.3,11233.48672
4/5/2017 0:00,1491350400,1114.9,1144.99,1143.98,1132.99,8705.920184
4/4/2017 0:00,1491264000,1124.98,1164.14,1152.09,1143.99,8959.603373
4/3/2017 0:00,1491177600,1112.24,1168.72,1113.23,1152.6,12694.07861
4/2/2017 0:00,1491091200,1080,1119,1092,1113.99,7882.354255
4/1/2017 0:00,1491004800,1071.45,1110.95,1088.99,1092,6726.970428
3/31/2017 0:00,1490918400,1038.11,1094.49,1042.32,1088.99,11274.09908
3/30/2017 0:00,1490832000,1022,1052.94,1043.09,1042.34,8312.813656
3/29/2017 0:00,1490745600,1005.77,1058.16,1045.54,1043.27,8676.302769
3/28/2017 0:00,1490659200,1016.25,1069.39,1042.27,1045.4,9055.351964
3/27/2017 0:00,1490572800,961.1,1045.9,973.97,1042.08,10235.06769
3/26/2017 0:00,1490486400,943.9,1005,963.72,973.08,9503.608591
3/25/2017 0:00,1490400000,890.05,973.99,933.93,963.72,16665.09971
3/24/2017 0:00,1490313600,920.1,1030.3,1025.13,934.87,18998.31617
3/23/2017 0:00,1490227200,1013,1057.41,1038.94,1025.14,7782.58745
3/22/2017 0:00,1490140800,985.17,1114.96,1114.42,1034.57,14577.91002
3/21/2017 0:00,1490054400,1042.68,1120,1046.75,1114.42,12493.1583
3/20/2017 0:00,1489968000,1011,1051.97,1019.1,1044.96,8919.415422
3/19/2017 0:00,1489881600,961.59,1062.92,970,1019.49,13516.88951
3/18/2017 0:00,1489795200,919.44,1096,1068.78,970,23968.48396
3/17/2017 0:00,1489708800,1065.74,1175.11,1175.11,1069.57,19217.44271
3/16/2017 0:00,1489622400,1117.77,1277.27,1263.55,1175.11,16599.28971
3/15/2017 0:00,1489536000,1240,1264.55,1247.43,1263,7273.308964
3/14/2017 0:00,1489449600,1213.55,1262,1245.5,1247.42,7464.222895
3/13/2017 0:00,1489363200,1206,1249,1235.27,1245.49,9584.325719
3/12/2017 0:00,1489276800,1150,1244,1188.11,1235.58,6729.151336
3/11/2017 0:00,1489190400,1107,1219,1111.92,1188.11,10281.23815
3/10/2017 0:00,1489104000,956.85,1360,1197.3,1109.01,25691.11239
3/9/2017 0:00,1489017600,1131.11,1214.95,1150.22,1197.3,8524.455133
3/8/2017 0:00,1488931200,1128,1246,1237.36,1150.22,13017.11732
3/7/2017 0:00,1488844800,1050,1288,1284.99,1237.36,10811.1348
3/6/2017 0:00,1488758400,1268.78,1288,1278.63,1284.99,4763.573312
3/5/2017 0:00,1488672000,1247.11,1278.99,1273.94,1278.98,3996.533868
3/4/2017 0:00,1488585600,1226.41,1294.48,1293.06,1273.97,6385.030906
3/3/2017 0:00,1488499200,1255.61,1294.99,1269.17,1292.86,8290.62821
